Year,Country,Average Temp
1973,Mongolia,0.8054117647058825
1974,Mongolia,-0.13241176470588237
1975,Mongolia,-0.18335294117647052
1976,Mongolia,
1977,Mongolia,0.30117647058823527
1978,Mongolia,0.8931176470588236
1979,Mongolia,0.9973529411764704
1980,Mongolia,0.3664705882352941
1981,Mongolia,0.20494117647058824
1982,Mongolia,1.1868823529411767
1983,Mongolia,0.6564705882352941
1984,Mongolia,-0.5685294117647058
1985,Mongolia,-0.2984117647058824
1986,Mongolia,0.4658235294117648
1987,Mongolia,0.351764705882353
1988,Mongolia,0.6595882352941177
1989,Mongolia,1.4312941176470586
1990,Mongolia,1.4901176470588238
1991,Mongolia,0.9561176470588236
1992,Mongolia,0.8779411764705882
1993,Mongolia,0.4221176470588235
1994,Mongolia,1.369411764705882
1995,Mongolia,1.3828235294117646
1996,Mongolia,0.4906470588235294
1997,Mongolia,1.9072352941176476
1998,Mongolia,2.1896470588235295
1999,Mongolia,1.7594117647058822
2000,Mongolia,0.8912352941176471
2001,Mongolia,1.4948235294117649
2002,Mongolia,1.7954705882352944
2003,Mongolia,0.6665882352941176
2004,Mongolia,1.8189411764705885
2005,Mongolia,0.7690588235294118
2006,Mongolia,1.5082352941176473
2007,Mongolia,2.7452352941176468
2008,Mongolia,1.7878823529411765
2009,Mongolia,1.262470588235294
2010,Mongolia,0.45982352941176474
2011,Mongolia,0.7002941176470587
2012,Mongolia,0.15541176470588233
2013,Mongolia,1.387529411764706
2014,Mongolia,1.7979999999999998
2015,Mongolia,2.2818823529411767
2016,Mongolia,1.496235294117647
2017,Mongolia,2.5614705882352937
2018,Mongolia,2.0540588235294117
2019,Mongolia,2.085941176470588
1961,Nigeria,-0.39988235294117647
1962,Nigeria,-0.14500000000000002
1963,Nigeria,0.23358823529411765
1964,Nigeria,-0.2603529411764706
1965,Nigeria,-0.11541176470588238
1966,Nigeria,-0.009647058823529417
1967,Nigeria,-0.24600000000000002
1968,Nigeria,-0.05288235294117647
1969,Nigeria,0.3565294117647059
1970,Nigeria,0.12505882352941178
1971,Nigeria,-0.05658823529411765
1972,Nigeria,0.1816470588235294
1973,Nigeria,0.895529411764706
1974,Nigeria,-0.021294117647058828
1975,Nigeria,0.12123529411764705
1976,Nigeria,
1977,Nigeria,0.26017647058823534
1978,Nigeria,0.08070588235294118
